Suite,Benchmark,SanRazor Level,Original Checks,SanRazor Checks,Removed Checks,Removed / Original,Original Check Cost,SanRazor Check Cost,Removed Check Cost,Check Cost Reduction %,Runtime Native,Runtime UBSan,Runtime SanRazor,Sanitizer Overhead %,SanRazor Overhead %,Overhead Reduction %,Runtime Reduction vs UBSan %,Native Status,UBSan Status,SanRazor Status
CPU2006,401.bzip2,L2,8673,1501,7172,82.69341634959069,15010392337787724168,2110378638306036206,12900013699481687962,85.94054978167833,3.203547,8.881997,6.169746,177.25508631526245,92.59108731665245,47.76393205892454,30.536499843447366,S,S,S
CPU2006,429.mcf,L2,1421,291,1130,79.52146375791696,1103135075414182107,140884428048397322,962250647365784785,87.22872373580353,1.489628,2.788131,2.023483,87.1696155013198,35.83814214018535,58.88688743884302,27.425110226169423,S,S,S
CPU2006,433.milc,L2,9419,2108,7311,77.61970485189511,4746427054215002146,802322158429026182,3944104895785975964,83.09629223698836,2.932318,18.152538,5.060825,519.0507987196477,72.58786393563045,86.01526784763952,72.1205651793705,S,S,S
CPU2006,444.namd,L2,19520,3786,15734,80.60450819672131,13892672015260350444,2637866507102095319,11254805508158255125,81.01253305192448,5.643437,15.220416,7.632332,169.7011767828719,35.2426189926458,79.23254295535158,49.85464260635189,S,S,S
CPU2006,445.gobmk,L2,57214,17081,40133,70.14541895340301,148482490948766502216,50422194587377111484,98060296361389390732,66.04165631570987,9.537141,24.839288,13.00055,160.44794766062492,36.31496063652619,77.36651595361094,47.661341983715474,S,S,S
CPU2006,453.povray,L2,65505,11526,53979,82.40439661094572,47527886935090061849,7595103363891750377,39932783571198311472,84.01969064127644,0.258805,0.876832,0.454765,238.80025501825693,75.71723884778113,68.29264740860836,48.13544669902558,S,S,S
CPU2006,456.hmmer,L2,28940,3981,24959,86.24395300621977,22117225218301069947,2240636853363521226,19876588364937548721,89.86926781615675,1.334685,9.623915,3.814433,621.0626477408528,185.79275259705477,70.08470026769676,60.36505933396128,S,S,S
CPU2006,458.sjeng,L2,9211,3185,6026,65.42177830854413,4464180185723619338,1162534342100495531,3301645843623123807,73.95861516033196,1.993168,5.85302,3.16667,193.65412248239988,58.876221171521905,69.59722808024763,45.89681907801443,S,S,S
CPU2006,462.libquantum,L2,1664,495,1169,70.25240384615384,872695671173471515,183854325295487564,688841345877983951,78.93259570678659,0.023282,0.092391,0.055239,296.8344643930934,137.2605446267503,53.758555325644984,40.211708932688246,S,S,S
CPU2006,470.lbm,L2,1055,53,1002,94.97630331753555,665726216214043078,23901193464841971,641825022749201107,96.40975631081993,1.171387,1.823589,1.18511,55.67775636915895,1.1715171843293593,97.89589728335697,35.01222040712024,S,S,S
CPU2006,482.sphinx3,L2,13000,2907,10093,77.63846153846153,10620633647045327199,2110162914021232157,8510470733024095042,80.13147817589696,0.703752,1.608929,0.988251,128.62158828678284,40.4260307608362,68.56979353209373,38.577090723083494,S,S,S
