Suite,Benchmark,SanRazor Level,Original Checks,SanRazor Checks,Removed Checks,Removed / Original,SanRazor Reported Removed Checks,Detected / Reported,Removed READ Checks,Removed WRITE Checks,Removed UNKNOWN Checks,READ / Removed,WRITE / Removed,UNKNOWN / Removed,Original Check Cost,SanRazor Check Cost,Removed Check Cost,Check Cost Reduction %,Runtime Native,Runtime UBSan,Runtime SanRazor,Sanitizer Overhead %,SanRazor Overhead %,Overhead Reduction %,Runtime Reduction vs UBSan %,Native Status,UBSan Status,SanRazor Status
CPU2006,401.bzip2,L2,8673,1973,6700,77.25123947884238,7172,93.42%,1777,513,4410,26.52%,7.66%,65.82%,15010392337787724168,2110378638306036206,12900013699481687962,85.94054978167833,3.203547,8.881997,6.169746,177.25508631526245,92.59108731665245,47.76393205892454,30.536499843447366,S,S,S
CPU2006,429.mcf,L2,1421,377,1044,73.46938775510205,1130,92.39%,270,166,608,25.86%,15.90%,58.24%,1103135075414182107,140884428048397322,962250647365784785,87.22872373580353,1.489628,2.788131,2.023483,87.1696155013198,35.83814214018535,58.88688743884302,27.425110226169423,S,S,S
CPU2006,433.milc,L2,9419,2804,6615,70.23038539123048,7311,90.48%,1101,313,5201,16.64%,4.73%,78.62%,4746427054215002146,802322158429026182,3944104895785975964,83.09629223698836,2.932318,18.152538,5.060825,519.0507987196477,72.58786393563045,86.01526784763952,72.1205651793705,S,S,S
CPU2006,444.namd,L2,19520,7636,11884,60.881147540983605,15734,75.53%,2369,1448,8067,19.93%,12.18%,67.88%,13892672015260350444,2637866507102095319,11254805508158255125,81.01253305192448,5.643437,15.220416,7.632332,169.7011767828719,35.2426189926458,79.23254295535158,49.85464260635189,S,S,S
CPU2006,445.gobmk,L2,57214,57214,0,0.0,40133,0.00%,0,0,0,--,--,--,148482490948766502216,50422194587377111484,98060296361389390732,66.04165631570987,9.537141,24.839288,13.00055,160.44794766062492,36.31496063652619,77.36651595361094,47.661341983715474,S,S,S
CPU2006,453.povray,L2,65505,20008,45497,69.45576673536371,53979,84.29%,12423,5259,27815,27.31%,11.56%,61.14%,47527886935090061849,7595103363891750377,39932783571198311472,84.01969064127644,0.258805,0.876832,0.454765,238.80025501825693,75.71723884778113,68.29264740860836,48.13544669902558,S,S,S
CPU2006,456.hmmer,L2,28940,6638,22302,77.06288873531444,24959,89.35%,7987,1544,12771,35.81%,6.92%,57.26%,22117225218301069947,2240636853363521226,19876588364937548721,89.86926781615675,1.334685,9.623915,3.814433,621.0626477408528,185.79275259705477,70.08470026769676,60.36505933396128,S,S,S
CPU2006,458.sjeng,L2,9211,3648,5563,60.395179676473774,6026,92.32%,843,225,4495,15.15%,4.04%,80.80%,4464180185723619338,1162534342100495531,3301645843623123807,73.95861516033196,1.993168,5.85302,3.16667,193.65412248239988,58.876221171521905,69.59722808024763,45.89681907801443,S,S,S
CPU2006,462.libquantum,L2,1664,680,984,59.13461538461539,1169,84.17%,264,28,692,26.83%,2.85%,70.33%,872695671173471515,183854325295487564,688841345877983951,78.93259570678659,0.023282,0.092391,0.055239,296.8344643930934,137.2605446267503,53.758555325644984,40.211708932688246,S,S,S
CPU2006,470.lbm,L2,1055,127,928,87.96208530805687,1002,92.61%,381,64,483,41.06%,6.90%,52.05%,665726216214043078,23901193464841971,641825022749201107,96.40975631081993,1.171387,1.823589,1.18511,55.67775636915895,1.1715171843293593,97.89589728335697,35.01222040712024,S,S,S
CPU2006,482.sphinx3,L2,13000,3762,9238,71.06153846153846,10093,91.53%,3202,478,5558,34.66%,5.17%,60.16%,10620633647045327199,2110162914021232157,8510470733024095042,80.13147817589696,0.703752,1.608929,0.988251,128.62158828678284,40.4260307608362,68.56979353209373,38.577090723083494,S,S,S
