Suite,Benchmark,Compile Units Base,Compile Units ASAN--,Fallback Units Base,Fallback Units ASAN--,Original Checks,ASAN-- Checks,Removed Checks,Removed / Original,Original Core Checks,ASAN-- Core Checks,Core / All Original,Removed Read Checks,Removed Store Checks,Runtime Native,Runtime ASan,Runtime ASAN--,Sanitizer Overhead %,ASAN-- Overhead %,Overhead Reduction %,Runtime Reduction vs ASan %,Native Status,ASan Status,ASAN-- Status
CPU2017,500.perlbench_r,69,69,0,0,120941,87847,33094,27.36375588096675,119357,86263,98.6902704624569,23756,9338,1.485335,1.397604,1.099933,,,,,RE,VE,VE
CPU2017,502.gcc_r,387,387,0,0,398890,264909,133981,33.588457970869165,387856,253875,97.23382386121487,108888,25093,0.007437,0.030029,0.027757,303.7784052709426,273.2284523329299,10.056657223796032,7.566019514469345,S,S,S
CPU2017,503.bwaves_r,0,0,0,0,0,0,0,,0,0,,0,0,20.366142,29.000574,29.448043,42.39601196927725,44.593134035891524,-5.182379107276519,-1.542966011638246,S,S,S
CPU2017,505.mcf_r,12,12,0,0,1123,991,132,11.754229741763135,1065,933,94.83526268922529,73,59,12.605522,20.616913,20.25481,63.55461519165965,60.68204077546331,4.519851796023952,1.7563395645119186,S,S,S
CPU2017,507.cactuBSSN_r,395,395,0,0,180965,112930,68035,37.595667670544024,177605,109608,98.14328737601194,46862,21135,5.496035,10.48696,10.223087,90.80955634380057,86.00840424051157,5.287056006652079,2.5162010725701274,S,S,S
CPU2017,508.namd_r,15,15,0,0,27833,19986,7847,28.193152013796574,27468,19625,98.68860704918622,4246,3597,9.886892,16.310049,15.964022,64.96639186510787,61.46653569190399,5.387179544264595,2.121557084224575,S,S,S
CPU2017,510.parest_r,233,233,0,0,299625,197566,102059,34.062244472256985,240138,138461,80.14618272841051,52782,48895,18.832267,38.166196,36.518899,102.66384286076655,93.9166378641509,8.520239212629786,4.316115234538967,S,S,S
CPU2017,511.povray_r,102,102,0,0,41958,28322,13636,32.499165832499166,40265,26631,95.9650126316793,8820,4814,0.670458,2.293146,2.22257,242.0267936246566,231.5002580325688,4.349326549527696,3.077693265060313,S,S,S
CPU2017,519.lbm_r,2,2,0,0,900,718,182,20.22222222222222,879,697,97.66666666666667,102,80,2.129625,7.145195,4.579257,235.5142337265951,115.02644831836592,51.15944947433692,35.9113782059132,S,S,S
CPU2017,520.omnetpp_r,177,177,0,0,52531,37848,14683,27.95111457996231,43210,28773,82.25619158211342,8921,5516,6.195501,17.025167,15.900235,174.79887421533786,156.64163398569383,10.3875041021579,6.607465289474103,S,S,S
CPU2017,521.wrf_r,68,68,0,0,11762,9447,2315,19.68202686617922,10769,8454,91.55755823839483,1814,501,31.915987,71.282502,71.178192,123.344187977016,123.0173611738844,0.2649713849447891,0.14633324739358636,S,S,S
CPU2017,523.xalancbmk_r,757,757,0,0,150588,107965,42623,28.304380163094006,129828,87411,86.214040959439,26766,15651,0.314849,0.7178,0.821018,127.98230262760879,160.76563686084444,-25.61552149020601,-14.379771524101425,S,S,S
CPU2017,525.x264_r,96,96,0,0,48539,41657,6882,14.178289622777559,47011,40129,96.8520159047364,4174,2708,116.790333,218.161192,209.544811,86.79730282128743,79.41965367972708,8.499859905498077,3.949548002102954,S,S,S
CPU2017,526.blender_r,1040,1040,0,0,393050,321101,71949,18.305304668617225,370639,298692,94.29818089301617,38720,33227,0.28684,0.726639,0.716614,153.32554734346678,149.83056756379864,2.2794503852896573,1.3796396835292437,S,S,S
CPU2017,527.cam4_r,49,49,0,0,9238,7530,1708,18.488850400519592,8264,6556,89.45659233600345,1430,278,35.439172,70.729213,70.478742,99.57919163574138,98.87242850933424,0.709749812985495,0.35412666050731334,S,S,S
CPU2017,531.deepsjeng_r,20,20,0,0,4054,2673,1381,34.06512086827824,3908,2527,96.39861864824864,826,555,10.772089,23.275769,22.320772,116.07479292085317,107.20931659588035,7.637727453037815,4.10296647986152,S,S,S
CPU2017,538.imagick_r,98,98,0,0,70457,50758,19699,27.958896915849387,68405,48706,97.08758533573669,14633,5066,0.02682,0.06688,0.053402,149.36614466815809,99.11260253542132,33.644533200199696,20.152511961722485,S,S,S
CPU2017,541.leela_r,21,21,0,0,10029,5994,4035,40.23332336224948,7421,3398,73.99541330142586,2126,1897,17.407941,29.554486,28.359976,69.77588561450202,62.914017229263344,9.83415448590526,4.041721449664194,S,S,S
