Suite,Benchmark,Compile Units Base,Compile Units ASAN--,Fallback Units Base,Fallback Units ASAN--,Original Checks,ASAN-- Checks,Removed Checks,Removed / Original,Original Core Checks,ASAN-- Core Checks,Core / All Original,Removed Read Checks,Removed Store Checks,Runtime Native,Runtime ASan,Runtime ASAN--,Sanitizer Overhead %,ASAN-- Overhead %,Overhead Reduction %,Runtime Reduction vs ASan %,Native Status,ASan Status,ASAN-- Status
CPU2017,544.nab_r,20,20,0,0,7735,5647,2088,26.994182288299935,7484,5396,96.75500969618616,1463,625,1.947242,2.9271,2.43583,50.320299171854344,25.091282953017668,50.13685656493081,16.783505859041362,S,S,S
CPU2017,548.exchange2_r,0,0,0,0,0,0,0,,0,0,,0,0,26.215644,67.585612,65.442479,157.80641513136203,149.63139948040188,5.180407681243533,3.1709900030201577,S,S,S
CPU2017,549.fotonik3d_r,0,0,0,0,0,0,0,,0,0,,0,0,4.123325,10.30337,10.466934,149.88013314497397,153.8469317844215,-2.6466473949623497,-1.5874806010072524,S,S,S
CPU2017,554.roms_r,0,0,0,0,0,0,0,,0,0,,0,0,13.308716,21.51617,20.933495,61.66976588876041,57.2916200180393,7.099339210429914,2.7080795513327804,S,S,S
CPU2017,557.xz_r,90,90,0,0,7820,5146,2674,34.19437340153453,7330,4656,93.73401534526855,1712,962,18.501826,31.407805,27.189802,69.75516362547133,46.9573976103764,32.6825496926657,13.42979237167322,S,S,S
CPU2017,600.perlbench_s,69,69,0,0,120941,87847,33094,27.36375588096675,119357,86263,98.6902704624569,23756,9338,1.510491,1.397195,1.126198,,,,,RE,VE,VE
CPU2017,602.gcc_s,387,387,0,0,398890,264909,133981,33.588457970869165,387856,253875,97.23382386121487,108888,25093,0.007631,0.027916,0.02975,265.82361420521556,289.8571615777749,-9.041163421247221,-6.569709127382143,S,S,S
CPU2017,603.bwaves_s,0,0,0,0,0,0,0,,0,0,,0,0,20.305523,29.198236,29.392845,43.794552841608656,44.75295711418021,-2.188409768762354,-0.6665094425567346,S,S,S
CPU2017,605.mcf_s,12,12,0,0,1123,991,132,11.754229741763135,1065,933,94.83526268922529,73,59,12.684746,21.173213,20.346043,66.91869904214084,60.3977170689898,9.74463351274145,3.9066815225445417,S,S,S
CPU2017,607.cactuBSSN_s,395,395,0,0,180965,112930,68035,37.595667670544024,177605,109608,98.14328737601194,46862,21135,5.509729,10.312847,10.07542,87.17521315476677,82.86598124880551,4.943184822858824,2.3022449571878676,S,S,S
CPU2017,619.lbm_s,2,2,0,0,900,718,182,20.22222222222222,879,697,97.66666666666667,102,80,15.825692,45.893075,32.400671,189.99095268630276,104.73462392671362,44.87388875845962,29.39965125457381,S,S,S
CPU2017,620.omnetpp_s,177,177,0,0,52531,37847,14684,27.95301821781424,43210,28772,82.25619158211342,8922,5516,6.073155,17.442045,16.656806,187.19907527471307,174.26940362957967,6.906909997370021,4.5019893022865185,S,S,S
CPU2017,621.wrf_s,68,68,0,0,11762,9447,2315,19.68202686617922,10769,8454,91.55755823839483,1814,501,32.020906,71.555829,71.475478,123.4659725118334,123.21503957445803,0.20324056278042424,0.11229134107300662,S,S,S
CPU2017,623.xalancbmk_s,757,757,0,0,150588,107961,42627,28.3070364172444,129828,87407,86.214040959439,26765,15656,0.304587,0.736359,0.793916,141.75654246569945,160.6532780453532,-13.330415126501943,-7.816431930620794,S,S,S
CPU2017,625.x264_s,96,96,0,0,48539,41657,6882,14.178289622777559,47011,40129,96.8520159047364,4174,2708,118.109939,218.543076,214.122228,85.03360331089496,81.29060925177517,4.401782252405405,2.0228725983521922,S,S,S
CPU2017,627.cam4_s,49,49,0,0,9238,7530,1708,18.488850400519592,8264,6556,89.45659233600345,1430,278,95.66303,233.260675,234.427686,143.83575870427688,145.05567720361773,-0.8481329749502633,-0.500303362322004,S,S,S
CPU2017,628.pop2_s,47,47,0,0,8883,7289,1594,17.944388157154116,7922,6328,89.18158279860407,1338,256,3.603185,8.745923,8.963446,142.7275590900828,148.76452360897372,-4.229711877214043,-2.4871360061139334,S,S,S
CPU2017,631.deepsjeng_s,20,20,0,0,4054,2673,1381,34.06512086827824,3908,2527,96.39861864824864,826,555,14.497563,27.931848,25.60635,92.6658156270816,76.62520245644043,17.310173187482622,8.325614545804488,S,S,S
CPU2017,638.imagick_s,98,98,0,0,70457,50758,19699,27.958896915849387,68405,48706,97.08758533573669,14633,5066,0.026835,0.063013,0.050941,134.8164710266443,89.83044531395564,33.36834540328376,19.157951533810483,S,S,S
CPU2017,641.leela_s,21,21,0,0,10029,5994,4035,40.23332336224948,7421,3398,73.99541330142586,2126,1897,17.673355,30.260898,26.966409,71.22327933773751,52.582285593199465,26.172613670515382,10.886950545882684,S,S,S
CPU2017,644.nab_s,20,20,0,0,7735,5647,2088,26.994182288299935,7484,5396,96.75500969618616,1463,625,1.94494,2.979381,2.49141,53.18626795685215,28.097010704700416,47.17243419392695,16.378267834828776,S,S,S
CPU2017,648.exchange2_s,0,0,0,0,0,0,0,,0,0,,0,0,26.272131,67.599705,66.644869,157.30575490811916,153.6713485480108,2.3104090261867305,1.4124854538936231,S,S,S
CPU2017,649.fotonik3d_s,0,0,0,0,0,0,0,,0,0,,0,0,4.124597,10.532104,10.452009,155.34868012559775,153.40679343945604,1.2500181427815844,0.7604843248794355,S,S,S
CPU2017,654.roms_s,0,0,0,0,0,0,0,,0,0,,0,0,12.984838,21.356518,21.29649,64.47273350657129,64.01044048450969,0.7170364849110648,0.2810757821101859,S,S,S
CPU2017,657.xz_s,90,90,0,0,7820,5146,2674,34.19437340153453,7330,4656,93.73401534526855,1712,962,18.453883,31.374291,26.929255,70.01457633604808,45.9273097157926,34.403216988194174,14.167765575961536,S,S,S
CPU2017,996.specrand_fs,2,2,0,0,64,37,27,42.1875,56,29,87.5,15,12,,,,,,,,NR,NR,NR
CPU2017,997.specrand_fr,2,2,0,0,64,37,27,42.1875,56,29,87.5,15,12,,,,,,,,NR,NR,NR
CPU2017,998.specrand_is,2,2,0,0,64,37,27,42.1875,56,29,87.5,15,12,,,,,,,,NR,NR,NR
CPU2017,999.specrand_ir,2,2,0,0,64,37,27,42.1875,56,29,87.5,15,12,,,,,,,,NR,NR,NR
