Result Group,Suite,Benchmark,Sanitizer,Compile Units,Fallback Units,Original Checks,Core Checks,Core / All,Removed Checks,Removed / All,Removed / Core,Runtime Native,Runtime Before,Runtime After,Sanitizer Overhead %,DESAN Overhead %,Overhead Reduction %,Native Status,Before Status,After Status,Source Summary
opensource,OpenSource,make,msan,115,21,11916,11916,100.0,8936,74.99160792212152,74.99160792212152,0.06523533333333333,0.14846499999999999,0.11481466666666666,127.58372252255936,76.00073579757392,40.430695785557226,S,S,S,make-msan-after-read-check-elimination-summary.csv
opensource,OpenSource,redis,asan,149,0,39734,37982,95.59067800875825,23936,60.24059998993305,63.01932494339424,0.11999433333333333,0.28383366666666665,0.2831633333333333,136.53922546342469,135.98058797220983,0.40914066219344664,S,S,S,redis-asan-after-read-check-elimination-summary.csv
opensource,OpenSource,redis,ubsan,149,0,97955,87180,89.00005104384667,50432,51.484865499464036,57.84813030511585,0.06460766666666667,0.06446033333333333,0.064368,-0.22804311149865575,-0.37095700716635227,-62.66968325791282,S,S,S,redis-ubsan-after-read-check-elimination-summary.csv
opensource,OpenSource,redis,msan,149,0,85088,85088,100.0,60977,71.66345430613012,71.66345430613012,0.06456966666666666,0.18149766666666667,0.16468033333333335,181.0881270359147,155.04287358873364,14.382640029191743,S,S,S,redis-msan-after-read-check-elimination-summary.csv
opensource,OpenSource,tar,asan,455,53,10683,9960,93.23223813535523,5452,51.03435364597959,54.73895582329317,0.06429666666666667,0.16521533333333333,0.11450166666666667,156.95785162527864,78.08336357509461,50.25201812680839,S,S,S,tar-asan-after-read-check-elimination-summary.csv
opensource,OpenSource,tar,ubsan,455,53,22990,18918,82.28795128316659,9596,41.73988690735102,50.72417803150439,0.115358,0.16553566666666666,0.11495633333333334,43.497344498575444,-0.34819142726699603,100.80048892933775,S,S,S,tar-ubsan-after-read-check-elimination-summary.csv
opensource,OpenSource,tar,msan,455,53,20265,20265,100.0,14113,69.64224031581544,69.64224031581544,0.08142566666666666,0.18139466666666665,0.16503533333333334,122.77332700172346,102.6822009440103,16.364406299286088,S,S,S,tar-msan-after-read-check-elimination-summary.csv
opensource,OpenSource,xz,asan,230,25,6058,5775,95.32849125123803,2854,47.11125784087157,49.41991341991342,4.544892666666667,8.273731,7.921926333333333,82.04458513798419,74.30392562259263,9.434698831584269,S,S,S,xz-asan-after-read-check-elimination-summary.csv
opensource,OpenSource,xz,ubsan,230,25,18600,17646,94.87096774193549,7359,39.564516129032256,41.70350221013261,5.148946666666667,12.835448666666666,7.8040986666666665,149.2829989823161,51.56689653029356,65.45695298069265,S,S,S,xz-ubsan-after-read-check-elimination-summary.csv
opensource,OpenSource,zlib,asan,26,1,3760,3693,98.21808510638299,2107,56.037234042553195,57.053885729759,0.18193399999999998,0.34903633333333334,0.315408,91.84777629983036,73.36396715292362,20.124394831909378,S,S,S,zlib-asan-after-read-check-elimination-summary.csv
opensource,OpenSource,zlib,ubsan,26,1,9041,8549,94.55812410131622,4117,45.53699811967702,48.15767926073225,0.383545,1.5563526666666667,1.0209583333333334,305.7809818056986,166.1899733625346,45.650650873985306,S,S,S,zlib-ubsan-after-read-check-elimination-summary.csv
opensource,OpenSource,zlib,msan,26,1,5986,5986,100.0,5238,87.50417641162713,87.50417641162713,0.48582566666666666,2.1950743333333333,1.2371613333333333,351.82345930673347,154.6512912382151,56.04292802334593,S,S,S,zlib-msan-after-read-check-elimination-summary.csv
opensource,OpenSource,zopfli,asan,13,0,1371,1287,93.8730853391685,691,50.40116703136397,53.69075369075369,1.884125,4.497584666666667,3.8476916666666665,138.7094628364183,104.21636922532562,24.867152468012073,S,S,S,zopfli-asan-after-read-check-elimination-summary.csv
opensource,OpenSource,zopfli,ubsan,13,0,2587,2287,88.40355624275222,1279,49.439505218399695,55.92479230432882,1.3879723333333334,4.04548,3.076312,191.46690483984193,121.64072914998066,36.46905753674214,S,S,S,zopfli-ubsan-after-read-check-elimination-summary.csv
opensource,OpenSource,zopfli,msan,13,0,2423,2423,100.0,1859,76.723070573669,76.723070573669,1.4210653333333334,7.332992,6.021908,416.02075062934,323.7601086133502,22.17693273146149,S,S,S,zopfli-msan-after-read-check-elimination-summary.csv
opensource,OpenSource,zstd,asan,43,1,28307,26891,94.9977037481895,10742,37.94821068993535,39.94645048529248,0.385451,0.786908,0.8270906666666666,104.15253819551644,114.57738251208758,-10.009208126067445,S,S,S,zstd-asan-after-read-check-elimination-summary.csv
opensource,OpenSource,zstd,ubsan,43,2,71395,65409,91.61565935989915,15835,22.179424329434834,24.20920668409546,0.33419866666666664,0.856966,0.6384196666666666,156.42412297675236,91.02998615593918,41.80565987928346,S,S,S,zstd-ubsan-after-read-check-elimination-summary.csv
opensource,OpenSource,zstd,msan,43,2,72139,72139,100.0,26876,37.255853283244846,37.255853283244846,0.402327,2.752303,2.161996333333333,584.0960213955315,437.37291639222155,25.119689165619853,S,S,S,zstd-msan-after-read-check-elimination-summary.csv
